pair,refit_date,n_train,alpha,beta,eg_adf_stat,eg_adf_pvalue,eg_cointegrated_5pct
ES=F/RTY=F,2023-04-26,1512,1.5676161842273555,0.7246621974625296,-2.010575939911254,0.281955257514823,False
ES=F/RTY=F,2023-05-25,1533,1.6431405071509595,0.7151370762159392,-2.0335783255618436,0.2720469492875499,False
ES=F/RTY=F,2023-06-23,1554,1.715209419488481,0.7060792827478269,-2.0539986733440885,0.26340946589946207,False
ES=F/RTY=F,2023-07-24,1575,1.7847229414494277,0.6973667047969018,-2.1926429771695157,0.20892645952272865,False
ES=F/RTY=F,2023-08-22,1596,1.8424786652877,0.6901302153034214,-2.1263446038557423,0.2340540818658085,False
ES=F/RTY=F,2023-09-20,1617,1.9165883133110033,0.6808409420599726,-2.0795343947029155,0.25282314696528985,False
ES=F/RTY=F,2023-10-19,1638,1.999501648466768,0.6704260962875781,-1.9607185683939072,0.3040576495604465,False
ES=F/RTY=F,2023-11-17,1659,2.0929274035515695,0.658682846219858,-1.9643979538967038,0.3023981256698112,False
ES=F/RTY=F,2023-12-18,1680,2.174987857490702,0.6484151829550173,-2.3790303569321423,0.14774260928865646,False
ES=F/RTY=F,2024-01-16,1701,2.220821720632406,0.6426944590287779,-2.2863643565084613,0.1764034577328425,False
ES=F/RTY=F,2024-02-14,1722,2.2947733079161097,0.6334758031555121,-2.287059641469608,0.1761754657346984,False
ES=F/RTY=F,2024-03-14,1743,2.355318151253185,0.6259383450151214,-2.388575345908786,0.14498693033849847,False
ES=F/RTY=F,2024-04-12,1764,2.4154776531191895,0.6184572277210352,-2.3734404609740136,0.1493733699719092,False
ES=F/RTY=F,2024-05-13,1785,2.4809194466806623,0.6103113437376532,-2.4039850637129385,0.14061481154051225,False
ES=F/RTY=F,2024-06-11,1806,2.5418272931050185,0.602741238920605,-2.365964337631625,0.1515739995393534,False
ES=F/RTY=F,2024-07-10,1827,2.6319565323900873,0.5915534738127474,-2.3543549987681556,0.15503579261695033,False
ES=F/RTY=F,2024-08-08,1848,2.6588375440645535,0.5882162513580581,-2.4974862405191085,0.11608714824451072,False
ES=F/RTY=F,2024-09-06,1869,2.696835103375579,0.5835000489468517,-2.5048499268458557,0.1142987403811766,False
ES=F/RTY=F,2024-10-07,1890,2.730258798937098,0.5793545072642221,-2.540909361247927,0.10583519349482745,False
ES=F/RTY=F,2024-11-05,1911,2.758403480793258,0.5758672254540436,-2.5290361198125884,0.10856839878829566,False
ES=F/RTY=F,2024-12-04,1932,2.7491876263362354,0.5770078710078677,-2.6089999635538526,0.091151388248496,False
ES=F/RTY=F,2025-01-02,1953,2.7656375563729827,0.5749709802365625,-2.581177193432568,0.09695029634644031,False
ES=F/RTY=F,2025-01-31,1974,2.789935655317827,0.5719627174688731,-2.6108080073572353,0.09078398352080247,False
ES=F/RTY=F,2025-03-03,1995,2.821352061632522,0.5680741264205783,-2.566121428543381,0.1002033658031945,False
ES=F/RTY=F,2025-04-01,2016,2.8749727755722767,0.5614217586173761,-2.5123722081816537,0.11249298046887052,False
