ticker,date,log_return,trailing_std_90d,abs_z
HG=F,2025-04-04,-0.09282933543076072,0.013947906999830896,6.65543120067306
HG=F,2025-07-08,0.12443711051778991,0.020352642388649936,6.114051833740507
HG=F,2025-07-31,-0.25171204689975507,0.023828837442788048,10.56333728005423
NG=F,2015-10-26,-0.10312716804338853,0.01860083106445367,5.544223679363732
NG=F,2018-11-05,0.08266271458304006,0.01555755834404619,5.313347554609989
NG=F,2018-11-14,0.16506386627697278,0.019806467806433255,8.333836597727894
NG=F,2018-11-15,-0.18054512541642592,0.026052112728054203,6.930152932357229
NG=F,2022-01-27,0.3817267493869263,0.05359329269736287,7.12265901523363
NG=F,2026-01-29,-0.6439741041882078,0.06409532232688243,10.047131066819153
NQ=F,2016-06-24,-0.045911957242553945,0.008012197972236621,5.730257465135691
NQ=F,2017-05-17,-0.02574679953032691,0.0041953479243357445,6.136987919638021
NQ=F,2018-02-05,-0.049536103416452884,0.006532032783898775,7.583566258050264
NQ=F,2018-10-10,-0.050873695560538,0.00798662633334536,6.369860493927543
NQ=F,2020-02-24,-0.03957603108196284,0.007887291009774179,5.017696320944539
NQ=F,2020-02-27,-0.05426968425673134,0.009359207649141634,5.798534052368056
NQ=F,2020-03-09,-0.06708785324535516,0.012991775374021994,5.163871088742977
NQ=F,2020-03-12,-0.10368210434442955,0.016173413960282764,6.410650503291567
NQ=F,2020-03-16,-0.11476356448923039,0.021874164700419026,5.246534716227677
NQ=F,2025-04-09,0.11207226541981836,0.016846305927978266,6.652631496718178
NQ=F,2025-10-10,-0.03591923033120372,0.00709849839612836,5.060116707329915
RTY=F,2018-02-05,-0.05654904312071428,0.007187094538156797,7.868136813908789
RTY=F,2020-02-27,-0.04269426327875625,0.008459649800650027,5.046812135825728
RTY=F,2020-03-09,-0.09475652967196724,0.010805757242369105,8.76907814479019
RTY=F,2020-03-12,-0.1289823036204511,0.01598387877921821,8.069524638046571
RTY=F,2020-03-16,-0.14935138298649045,0.022477384610612623,6.644517837541237
RTY=F,2023-11-14,0.05330118293401011,0.010437280196657368,5.1068077056205015
RTY=F,2025-04-03,-0.06796661944117025,0.012578990022846069,5.403185734127199
RTY=F,2025-04-09,0.0816371471343537,0.01524395942287037,5.355376832863662
SI=F,2016-11-14,-0.10342695563411027,0.014025521593268428,7.374196741727609
SI=F,2020-02-28,-0.07470070756696709,0.012001228695472512,6.224421637356855
SI=F,2020-03-13,-0.09903869844066117,0.01494893819988745,6.625132642625202
SI=F,2020-03-16,-0.12385427663987778,0.018165594158309963,6.81806912344895
SI=F,2025-04-03,-0.08008137711888225,0.015670541320766403,5.1103133886485095
SI=F,2025-04-04,-0.08956115238527451,0.01787573449703551,5.010208246275263
SI=F,2026-01-30,-0.37610308700481104,0.040035078225600575,9.394338756763327
YM=F,2015-08-24,-0.04712458171805918,0.007385540682050846,6.38065427390936
YM=F,2016-06-24,-0.038000135447653544,0.0059999381866682345,6.333421156252781
YM=F,2018-02-02,-0.028839207933330006,0.004357153913587719,6.618817812103302
YM=F,2018-02-05,-0.06038377462298357,0.005421698669855809,11.13742727140339
YM=F,2018-10-10,-0.03700422195034474,0.005362893937292471,6.9000473220297955
YM=F,2019-08-05,-0.03458103375652058,0.006862932426924275,5.0388130911582625
YM=F,2020-02-24,-0.03557944338031955,0.005977511617476234,5.952216517036491
YM=F,2020-02-27,-0.05193100584669302,0.00787667378996443,6.593012130686135
YM=F,2020-03-09,-0.07703239193078935,0.012234461477274467,6.296345129197322
YM=F,2020-03-12,-0.11162494132099807,0.016206241896460957,6.88777460154869
YM=F,2020-03-16,-0.11948646060466774,0.02200744720221578,5.429364864846181
YM=F,2025-04-04,-0.056656514399674326,0.010050144628016643,5.637382992652044
YM=F,2025-04-09,0.07561607471905069,0.011658412091332667,6.485966881824903
ZB=F,2015-03-23,0.09884088627280903,0.005800294211666186,17.040667708546476
ZB=F,2016-11-09,-0.03212813060135546,0.005113642513529017,6.282826872694951
ZB=F,2020-03-06,0.033895597150390935,0.0058530236624456155,5.791125938525263
ZN=F,2021-02-25,-0.01104341359963112,0.0019379865220714848,5.698395460370374
