date,pair,logx,logy,alpha_active,beta_active,spread,zscore
2020-07-24,GC=F/SI=F,7.548187127605672,3.127111376363755,0.29938255492377425,0.3478869882418884,0.20181273493105323,2.387302445639523
2020-07-27,GC=F/SI=F,7.565793282428515,3.1976930387426914,0.29938255492377425,0.3478869882418884,0.2662694451341503,2.952240278895073
2020-07-28,GC=F/SI=F,7.572862977402529,3.1890762244415436,0.29938255492377425,0.3478869882418884,0.25519317594070356,2.649459284850992
2020-07-29,GC=F/SI=F,7.577377914495125,3.190188212854443,0.29938255492377425,0.3478869882418884,0.2547344764863584,2.5087919323008054
2020-07-30,GC=F/SI=F,7.571628141977419,3.150168633396023,0.29938255492377425,0.3478869882418884,0.21671516807219948,2.0292982014272023
2020-07-31,GC=F/SI=F,7.582127329092518,3.185897950306973,0.29938255492377425,0.3478869882418884,0.24879195439868917,2.28201279791919
2020-08-03,GC=F/SI=F,7.583756300707112,3.1941731872031642,0.29938255492377425,0.3478869882418884,0.25650049326594804,2.2682072852076414
2020-08-04,GC=F/SI=F,7.601502255214627,3.2585579365703765,0.29938255492377425,0.3478869882418884,0.3147116559660632,2.737996563430108
2020-08-05,GC=F/SI=F,7.616332785177321,3.2912709323730627,0.29938255492377425,0.3478869882418884,0.3422653033659966,2.8368132611540626
2020-08-06,GC=F/SI=F,7.626326511882241,3.3459312632513263,0.29938255492377425,0.3478869882418884,0.3934489467595732,3.1134143202818745
2020-08-07,GC=F/SI=F,7.605939738913655,3.315385319608408,0.29938255492377425,0.3478869882418884,0.36999529616466775,2.691977312721176
2020-08-10,GC=F/SI=F,7.613028651399823,3.3758454038399432,0.29938255492377425,0.3478869882418884,0.4279892399814793,3.0115758513070783
2020-08-11,GC=F/SI=F,7.5666215129324526,3.2595186285300453,0.29938255492377425,0.3478869882418884,0.3278069043059193,2.026885676439918
2020-08-12,GC=F/SI=F,7.567810937159622,3.2563642663397223,0.29938255492377425,0.3478869882418884,0.3242387569034646,1.9179546416745408
2020-08-13,GC=F/SI=F,7.579014634829729,3.321215792048173,0.29938255492377425,0.3478869882418884,0.3851926619722885,2.2980075782894134
2020-08-14,GC=F/SI=F,7.5688956634069955,3.260593438709523,0.29938255492377425,0.3478869882418884,0.3280905671259995,1.7559513471529224
2020-08-17,GC=F/SI=F,7.59337419312129,3.319372518663948,0.29938255492377425,0.3478869882418884,0.3783538851015287,2.0454210292592396
2020-08-18,GC=F/SI=F,7.600602426743775,3.3339529730932544,0.29938255492377425,0.3478869882418884,0.39041973110560013,2.0319474235964496
2020-08-19,GC=F/SI=F,7.580036241931854,3.307436021399488,0.29938255492377425,0.3478869882418884,0.3710574875056789,1.8061422685546429
2020-08-20,GC=F/SI=F,7.5672422832992785,3.3003451971015836,0.29938255492377425,0.3478869882418884,0.36841751494415265,1.7138993553015658
2020-08-21,GC=F/SI=F,7.567655853128751,3.2849257307540407,-0.5907895184562183,0.4726034499230411,0.2992149851913166,1.1880342928403942
2020-08-24,GC=F/SI=F,7.564082836073813,3.2804599615017387,-0.5907895184562183,0.4726034499230411,0.2964378361258122,1.1316412884518408
2020-08-25,GC=F/SI=F,7.555800511170056,3.2678183473384417,-0.5907895184562183,0.4726034499230411,0.287710477285414,1.0383916907429749
2020-08-26,GC=F/SI=F,7.570803986557991,3.311637316075133,-0.5907895184562183,0.4726034499230411,0.32443875179293213,1.2470904351674093
2020-08-27,GC=F/SI=F,7.5609134386206485,3.296207176278491,-0.5907895184562183,0.4726034499230411,0.31368291907310697,1.1363694814084089
2020-08-28,GC=F/SI=F,7.58304392881378,3.31817804804824,-0.5907895184562183,0.4726034499230411,0.32519484482909444,1.1753429965808808
2020-08-31,GC=F/SI=F,7.584569792513143,3.3476911237974947,-0.5907895184562183,0.4726034499230411,0.35398679212991757,1.3230694811313028
2020-09-01,GC=F/SI=F,7.584874673656367,3.3494127406550316,-0.5907895184562183,0.4726034499230411,0.35556432110735026,1.2890986458125122
2020-09-02,GC=F/SI=F,7.5675524924815285,3.305016843347326,-0.5907895184562183,0.4726034499230411,0.3193549463830654,1.0164637007327804
2020-09-03,GC=F/SI=F,7.564030972100654,3.285973591230377,-0.5907895184562183,0.4726034499230411,0.3019759769470922,0.8741156063172675
2020-09-04,GC=F/SI=F,7.562109667512808,3.280008560909133,-0.5907895184562183,0.4726034499230411,0.29691896180241706,0.8139610404233227
2020-09-07,GC=F/SI=F,7.562109667512808,3.280008560909133,-0.5907895184562183,0.4726034499230411,0.29691896180241706,0.7873998590299538
2020-09-08,GC=F/SI=F,7.566828479208331,3.2907871122632137,-0.5907895184562183,0.4726034499230411,0.30546738646965643,0.8166439439900429
2020-09-09,GC=F/SI=F,7.572862977402529,3.294168806073213,-0.5907895184562183,0.4726034499230411,0.3059971556145231,0.7934405577782746
2020-09-10,GC=F/SI=F,7.577736156523995,3.301855757076618,-0.5907895184562183,0.4726034499230411,0.3113810253530307,0.8027958075554633
2020-09-11,GC=F/SI=F,7.569308613148615,3.2861231858004802,-0.5907895184562183,0.4726034499230411,0.29963134015047377,0.6983704627249967
2020-09-14,GC=F/SI=F,7.577173120342685,3.304282585172394,-0.5907895184562183,0.4726034499230411,0.3140739462905251,0.7710735544655898
2020-09-15,GC=F/SI=F,7.5788102380266915,3.308570290438441,-0.5907895184562183,0.4726034499230411,0.3175879440911804,0.7693950058169317
2020-09-16,GC=F/SI=F,7.580801762925312,3.3088993107816025,-0.5907895184562183,0.4726034499230411,0.31697576289664653,0.7398692615262793
2020-09-17,GC=F/SI=F,7.570443252057374,3.295281178688785,-0.5907895184562183,0.4726034499230411,0.30825309877608165,0.653160316393533
2020-09-18,GC=F/SI=F,7.576660982662484,3.296873361173489,-0.5907895184562183,0.4726034499230411,0.30690676032611863,0.6190339946952705
2020-09-21,GC=F/SI=F,7.550240519057062,3.190435188444917,-1.3202739188155665,0.5748249370389749,0.17064257626439083,-0.4026827102458024
2020-09-22,GC=F/SI=F,7.5488720385887165,3.1963029409172408,-1.3202739188155665,0.5748249370389749,0.17729696543577056,-0.3864181765684039
2020-09-23,GC=F/SI=F,7.5282780149476265,3.1361027237491785,-1.3202739188155665,0.5748249370389749,0.12893470661057727,-0.7919579450337795
2020-09-24,GC=F/SI=F,7.532784231600847,3.140611536192154,-1.3202739188155665,0.5748249370389749,0.13085323334958066,-0.8109944582056983
2020-09-25,GC=F/SI=F,7.527094416113176,3.1362330819597197,-1.3202739188155665,0.5748249370389749,0.1297454269466103,-0.8573759457988279
2020-09-28,GC=F/SI=F,7.535189942248959,3.1581911960633944,-1.3202739188155665,0.5748249370389749,0.14705003074898748,-0.7454173294693729
2020-09-29,GC=F/SI=F,7.5466046819105745,3.1937630896300977,-1.3202739188155665,0.5748249370389749,0.17606044730838466,-0.5397748309075383
2020-09-30,GC=F/SI=F,7.54300848112318,3.1541453093894374,-1.3202739188155665,0.5748249370389749,0.1385098529589195,-0.9064970398466646
2020-10-01,GC=F/SI=F,7.5540204864349,3.186063367918617,-1.3202739188155665,0.5748249370389749,0.16409793622811542,-0.7221354238549468
2020-10-02,GC=F/SI=F,7.5497143970763405,3.1768447943995626,-1.3202739188155665,0.5748249370389749,0.15735461025347952,-0.8270145731598424
2020-10-05,GC=F/SI=F,7.556166565700691,3.198754779878093,-1.3202739188155665,0.5748249370389749,0.175555728308753,-0.6991421799949264
2020-10-06,GC=F/SI=F,7.550187932155509,3.1726224755092383,-1.3202739188155665,0.5748249370389749,0.15286009159108627,-0.9599174211089413
2020-10-07,GC=F/SI=F,7.540940105408016,3.1717003384603855,-1.3202739188155665,0.5748249370389749,0.157253835970109,-0.9616204128830236
2020-10-08,GC=F/SI=F,7.5435910799018995,3.1712389908716796,-1.3202739188155665,0.5748249370389749,0.1552686421348648,-1.0291396765090435
2020-10-09,GC=F/SI=F,7.559820014440852,3.2216320328006636,-1.3202739188155665,0.5748249370389749,0.1963328877892856,-0.628658277884523
2020-10-12,GC=F/SI=F,7.5613817013797995,3.2278752020112838,-1.3202739188155665,0.5748249370389749,0.2016783604035508,-0.6124044827525956
2020-10-13,GC=F/SI=F,7.543538142152512,3.181630777210159,-1.3202739188155665,0.5748249370389749,0.16569085841180264,-1.054396601565594
2020-10-14,GC=F/SI=F,7.5502931673969815,3.193106646126207,-1.3202739188155665,0.5748249370389749,0.17328377036700093,-1.0145817582851462
2020-10-15,GC=F/SI=F,7.551291933332944,3.186063367918617,-1.3202739188155665,0.5748249370389749,0.16566637659315475,-1.1516585788997327
2020-10-16,GC=F/SI=F,7.550030154856523,3.1933118114476313,-1.3202739188155665,0.5748249370389749,0.17364012185543576,-1.0916349879287284
2020-10-19,GC=F/SI=F,7.552971938590901,3.205060819125736,-1.3202739188155665,0.5748249370389749,0.18369811888364396,-0.975857627731454
2020-10-20,GC=F/SI=F,7.5550679359778385,3.216352655337846,-1.637144552553174,0.6192450525940635,0.17505876652470054,-1.0655242126967934
2020-10-21,GC=F/SI=F,7.562473420237034,3.2267249597957264,-1.637144552553174,0.6192450525940635,0.18084526149301094,-0.9838150232801679
2020-10-22,GC=F/SI=F,7.550187932155509,3.2053852718041824,-1.637144552553174,0.6192450525940635,0.16711330121465462,-1.1401062988906525
2020-10-23,GC=F/SI=F,7.550661243105336,3.2038434348728226,-1.637144552553174,0.6192450525940635,0.16527836881927715,-1.1316319053342976
2020-10-26,GC=F/SI=F,7.551029183383809,3.193599019148275,-1.637144552553174,0.6192450525940635,0.15480610789763372,-1.225959659568246
2020-10-27,GC=F/SI=F,7.554230076924187,3.1997337413888376,-1.637144552553174,0.6192450525940635,0.15895869264943752,-1.145368217301121
2020-10-28,GC=F/SI=F,7.537003707666839,3.1494828478457277,-1.637144552553174,0.6192450525940635,0.11937514304309804,-1.5780268171729073
2020-10-29,GC=F/SI=F,7.531337983069733,3.1501258111133925,-1.637144552553174,0.6192450525940635,0.12352657823688151,-1.4781403058887737
