refit_date,omega,alpha,beta,persistence,loglik,aic,bic,n_obs
2018-12-01,0.04268003947291719,0.19630221090030092,0.7456128898200504,0.9419151007203512,-1068.5904483948357,2145.1808967896714,2164.755522208082,986
2019-01-01,0.04091108841351672,0.20573880581431225,0.7466555997928246,0.9523944056071368,-1111.4302968359025,2230.860593671805,2250.5115649537775,1005
2019-02-01,0.04159326656400263,0.20512856982075534,0.7450611940577256,0.950189763878481,-1143.4832197736473,2294.9664395472946,2314.7001316502174,1026
2019-03-01,0.041244337944736996,0.2026323186236016,0.7457398418945063,0.9483721605181079,-1159.3001729014818,2326.6003458029636,2346.407434460559,1045
2019-04-01,0.042389120891162486,0.2035474192598724,0.7437936387998394,0.9473410580597118,-1183.7633976742181,2375.5267953484363,2395.4134697673394,1066
2019-05-01,0.04163780990938135,0.20488162683235153,0.7419961893594168,0.9468778161917684,-1196.3507428092958,2400.7014856185915,2420.6661931670765,1087
2019-06-01,0.04228167687337948,0.20286852150065118,0.7453575581352332,0.9482260796358843,-1231.690293418747,2471.380586837494,2491.4254427868955,1109
2019-07-01,0.04232363613952302,0.20095381983248226,0.7458863225398354,0.9468401423723177,-1253.1889597121503,2514.3779194243007,2534.4942696808994,1129
2019-08-01,0.04189427697632568,0.19895525351400623,0.7474156190817713,0.9463708725957776,-1270.79267055238,2549.58534110476,2569.7788867396475,1151
2019-09-01,0.04201620396623911,0.2076397599335316,0.7444046095785027,0.9520443695120343,-1315.5057715537914,2639.011543107583,2659.2808225021968,1173
2019-10-01,0.043082259494127625,0.21069641811850054,0.7383375495744731,0.9490339676929735,-1331.817139448298,2671.634278896596,2691.9711845849874,1193
2019-11-01,0.04447891228789402,0.21795122233644737,0.7300564901127335,0.9480077124491809,-1357.7510107836629,2723.5020215673258,2743.91530981743,1216
2019-12-01,0.04269301417271978,0.21794563478547213,0.7319443070679521,0.9498899418534242,-1367.8808507225863,2743.7617014451725,2764.240243997243,1236
2020-01-01,0.04203012550331261,0.21745934271212317,0.7323331931040237,0.9497925358161469,-1382.4225185786363,2772.8450371572726,2793.3909699916335,1257
2020-02-01,0.04275097017695256,0.21864739332530633,0.7313932155295283,0.9500406088548347,-1406.4672739948774,2820.9345479897547,2841.5467545295046,1278
2020-03-01,0.04550962501634447,0.2425370780212932,0.713430707977243,0.9559677859985362,-1443.7821121151699,2895.5642242303397,2916.2354609676054,1297
2020-04-01,0.04458627978018739,0.25537569939594934,0.7093334785528536,0.9647091779488028,-1515.0418039501906,3038.083607900381,3058.8221245112504,1319
2020-05-01,0.043847111791540376,0.2502257370181535,0.714013153055244,0.9642388900733976,-1563.4961775903905,3134.992355180781,3155.794054752561,1340
2020-06-01,0.04321737102375056,0.24726449825909344,0.7173913184182991,0.9646558166773925,-1599.2057403618116,3206.4114807236233,3227.2724406385437,1360
2020-07-01,0.039493649684101524,0.24629756949790765,0.7308144064047328,0.9771119759026405,-1653.6917541306993,3315.3835082613987,3336.3086562787093,1382
2020-08-01,0.039956843603234614,0.24405793485817154,0.7304432631630599,0.9745011980212314,-1681.782784884907,3371.565569769814,3392.553892108157,1404
2020-09-01,0.03990228171988621,0.24241394220475643,0.7307257786574712,0.9731397208622277,-1700.6374052476824,3409.274810495365,3430.322518866176,1425
2020-10-01,0.04155275668222692,0.25633994715321656,0.721005879479718,0.9773458266329345,-1744.5319745738177,3497.0639491476354,3518.1701747585103,1446
2020-11-01,0.04060973688751946,0.25418034355606833,0.7262406364156364,0.9804209799717047,-1784.3561585264815,3576.712317052963,3597.878941889661,1468
2020-12-01,0.04088728516666951,0.25209264126437864,0.7262668046234845,0.978359445887863,-1813.989827439767,3635.979654879534,3657.200407741106,1488
