Date,Forecast_GARCH_h1,Forecast_EGARCH_h1,Forecast_GARCH_h5,Forecast_EGARCH_h5,Forecast_GARCH_h21,Forecast_EGARCH_h21,RealizedVolatility_YZ,RealizedVolatility_20d,Error_GARCH_h1,Error_EGARCH_h1
2019-06-13,0.7347460646112549,0.7324634424529526,0.7699852093592872,0.7371949060672603,0.8491577354300547,0.7494196864135256,0.8983040396200336,0.8746098704070161,-0.16355797500877867,-0.165840597167081
2019-06-14,0.6835973149372593,0.6806271322735281,0.7309088631663689,0.6937046603338027,0.8342758368667339,0.7282605823616821,0.8813374609476959,0.8524084774142019,-0.19774014601043666,-0.20071032867416783
2019-06-17,0.630700601548245,0.6670903666541769,0.6913923598625757,0.6822552295538881,0.819760895876636,0.7225742285182738,0.8605857608993677,0.8374600681642587,-0.22988515935112264,-0.1934953942451908
2019-06-18,0.5823162612189563,0.6263794334939394,0.6561823294261094,0.6475772180529704,0.8073041483016222,0.7050364866439396,0.8412788245519639,0.8465327532516747,-0.2589625633330076,-0.21489939105802447
2019-06-19,0.6953511364622011,0.5822321907921061,0.739818143803256,0.6095313315159404,0.8376236012742708,0.6852138623706634,0.83186438519012,0.8282996087140965,-0.1365132487279188,-0.24963219439801387
2019-06-20,0.6380457047180036,0.547428816097238,0.6968194189424777,0.5791886883697764,0.8217214299584413,0.6689305697575672,0.8463159499165086,0.8423454683352412,-0.208270245198505,-0.29888713381927057
2019-06-21,0.7073789075881034,0.5118031909056582,0.7489797389246192,0.5477840572000457,0.8410943201976944,0.6515947449897013,0.8502181359980874,0.7797103102898608,-0.14283922840998398,-0.3384149450924292
2019-06-24,0.6521918440789612,0.5232711807105694,0.7073279617567807,0.5579330476346392,0.825547747008385,0.6572533259646606,0.8304940916423612,0.7836922568932086,-0.17830224756339996,-0.30722291093179177
2019-06-25,0.6061846281929124,0.5288859799446158,0.6734305613733479,0.5628881054565704,0.8133487837607197,0.6599962429681697,0.8068408055743106,0.7877103910689603,-0.20065617738139818,-0.27795482562969476
2019-06-26,0.7386170262676649,0.7411089023859313,0.7729734938197077,0.7443960921239863,0.8503166514019402,0.7528588974870989,0.7860861889816786,0.7639382839863903,-0.04746916271401369,-0.04497728659574729
2019-06-27,0.674763426442498,0.7186661778652904,0.7242422304751516,0.7256722321135884,0.8317886228845508,0.7438794005979145,0.7743380912322004,0.7643439670556814,-0.09957466478970245,-0.05567191336691002
2019-06-28,0.6301784096367936,0.6686898519474067,0.6910073095166374,0.6836101403416709,0.8196222008081668,0.7232497642673942,0.7572766339111475,0.6664950385100921,-0.1270982242743539,-0.08858678196374081
2019-07-01,0.6127726623315249,0.597048555249377,0.6767994465329896,0.6201536109388492,0.8093674255420342,0.6835491075918821,0.7732896070937701,0.6627561917350145,-0.1605169447622452,-0.1762410518443931
2019-07-02,0.676983669643238,0.5552885799890251,0.7243059422833286,0.5839423390002769,0.8263476232874643,0.6643311781526133,0.757911540707551,0.5187058738416949,-0.08092787106431298,-0.2026229607185258
2019-07-03,0.6249679944535224,0.5229664686257413,0.6857035963018822,0.5555964151193875,0.8124887878455164,0.6488456776812657,0.6886403084359645,0.5151259282510423,-0.06367231398244211,-0.1656738398102232
2019-07-05,0.6605879683646549,0.4893486631496841,0.7120344800856464,0.5257955226760551,0.8218852930578666,0.6321102567803158,0.6727781137081036,0.5159356921475958,-0.012190145343448644,-0.18342945055841947
2019-07-08,0.6127563136211388,0.4973560272654732,0.6767875498042515,0.5329245331978412,0.8093632744178841,0.6361582095951684,0.6837392595483586,0.5155346549224996,-0.07098294592721976,-0.1863832322828854
2019-07-09,0.6346198716637727,0.6006905184049736,0.6927918876047304,0.6232908158619028,0.8149940724768117,0.6851859529699639,0.6767803983296644,0.5114903657463814,-0.04216052666589176,-0.07608987992469085
2019-07-10,0.5857462569912849,0.5649602563942634,0.6572849877370632,0.592369002711321,0.8026283157619771,0.6688580894974304,0.655779976748763,0.5140181472777194,-0.07003371975747807,-0.09081972035449959
2019-07-11,0.5741363780870413,0.529900193774035,0.6489996433021603,0.5617017155041699,0.7998099739489881,0.6522155239122555,0.6231379287873395,0.5067693871662886,-0.04900155070029821,-0.09323773501330457
2019-07-12,0.5411860382463975,0.5002575975304445,0.6258302458205156,0.5355029844617794,0.7920674251105198,0.637615270685648,0.620419941690936,0.5075604109981823,-0.0792339034445384,-0.12016234416049143
2019-07-15,0.5362855551542539,0.4716668051053808,0.6224305030569218,0.5099822364460982,0.7909487792883949,0.6230269504532869,0.6146165106072649,0.5037578495284601,-0.07833095545301094,-0.14294970550188407
2019-07-16,0.5072557268369845,0.45252496761358607,0.6025544570541519,0.49274894797688806,0.7844999173767047,0.6129576133207618,0.6138302121284794,0.5168841655683831,-0.10657448529149494,-0.16130524451489336
2019-07-17,0.516829334107345,0.5086740058839254,0.6090580676926172,0.5429678047762226,0.7865927912996588,0.6418128923995327,0.616901896547648,0.5130865454877079,-0.10007256244030305,-0.10822789066372263
2019-07-18,0.5990942975365524,0.6426592350632668,0.6668843097860052,0.6592149120499782,0.8059257413875234,0.703628887276388,0.6042166218924417,0.5156232689282562,-0.0051223243558893294,0.03844261317082509
2019-07-19,0.5711772737448993,0.6006372572015295,0.6468977011236742,0.6232449597778575,0.7990990973937582,0.6851620586797732,0.6048037946826613,0.49794621309709897,-0.03362652093776197,-0.004166537481131827
2019-07-22,0.6062727206021468,0.6914666452422356,0.6720781263736785,0.7004947790069493,0.8077240834407904,0.7241800655405637,0.5463121772275644,0.4976903625950997,0.05996054337458234,0.14515446801467113
2019-07-23,0.5673517936134942,0.6452779888131617,0.6441863722559303,0.6614430047359174,0.7981846025628663,0.7047551387344827,0.5444079691352844,0.5157461826928763,0.02294382447820975,0.10087001967787723
2019-07-24,0.6020341317348352,0.600143266107984,0.6690087633082138,0.6228196172555422,0.8066601244910566,0.6849403808061522,0.5535856202923696,0.4520942257615722,0.04844851144246565,0.04655764581561439
2019-07-25,0.5855267208455797,0.5616327438484492,0.6571277564222531,0.5894726257103619,0.8025745918705711,0.6673059623080551,0.5545970912082138,0.47196908219465655,0.030929629637365896,0.007035652640235424
2019-07-26,0.6009340011777345,0.6397594008264862,0.6682133342466781,0.6567458654375413,0.8063849646280792,0.7023784975899332,0.5513801659910695,0.48377621617922517,0.04955383518666501,0.08837923483541665
2019-07-29,0.617071824643395,0.5955625907207072,0.6799316280078718,0.6188726587398756,0.8104621327109404,0.6828795151819421,0.5523407789723446,0.4833389605698913,0.06473104567105048,0.04322181174836259
2019-07-30,0.5833617839370551,0.6064387538338668,0.6555783781348112,0.6282357969827967,0.8020456848917538,0.6877572361587149,0.5659454308643371,0.4555758991409387,0.01741635307271794,0.04049332296952968
2019-07-31,0.5636144392282846,0.6290660077994786,0.6415441422750383,0.6476244855276009,0.797296106305335,0.6977376189465833,0.5821250116898132,0.5243691605311421,-0.01851057246152865,0.0469409961096654
2019-08-01,0.7457237997818557,0.8265924137277094,0.7750100003299463,0.8108701872299514,0.8405015398496468,0.7720916832748649,0.6582636250936931,0.5267428415434336,0.08746017468816258,0.16832878863401635
2019-08-02,0.7995452041642878,0.9567807145004195,0.8169165169413468,0.9152753630175451,0.8567732893829939,0.8173384321066999,0.6785771626458734,0.5488650466243522,0.12096804151841434,0.27820355185454604
2019-08-05,0.8118432267633484,1.0416216461343388,0.8265883766174363,0.9819873806849655,0.8606050366173039,0.8448287018655938,0.7799867445652914,0.856428580956632,0.031856482198057035,0.26163490156904745
2019-08-06,1.5777735130783261,1.7217593750466558,1.4667559705329818,1.4888281996314894,1.1612143551994694,1.027431992677406,0.7969895800362751,0.9275604005805552,0.7807839330420511,0.9247697950103807
2019-08-07,1.4982051118580584,1.5330338844723628,1.3982313399851811,1.3523597413795956,1.125675286759614,0.9820212263703747,0.8797645472817744,0.9171041880321344,0.6184405645762839,0.6532693371905883
2019-08-08,1.3113558435697035,1.3824772331838784,1.238531589930645,1.241413958024511,1.0453807245562867,0.9432801115464144,0.9012730554887317,1.030454920013847,0.41008278808097176,0.4812041776951467
2019-08-09,1.4201567893503209,1.2364842924759396,1.3312951691872579,1.1318271781250013,1.091562455994942,0.9031673908409432,0.9180984044645601,1.0301178385325254,0.5020583848857607,0.31838588801137946
2019-08-12,1.2905988085620834,1.2664178936098063,1.2209169912027953,1.1544697781284197,1.0367672026559196,0.9116185906053534,0.9465268118020148,1.0562599850527445,0.3440719967600686,0.31989108180779147
2019-08-13,1.275211661861324,1.4057252695191025,1.2078782029368988,1.258676026110328,1.0304251611853306,0.9494249964127839,0.9864806377746551,1.1263569485815772,0.28873102408666895,0.41924463174444737
2019-08-14,1.2971480115911662,1.2599940923355184,1.2264715909296922,1.1496184641315983,1.039477762171882,0.9098153136671812,1.04489585299929,1.2939533090828386,0.2522521585918762,0.2150982393362284
