refit_date,omega,alpha,gamma,beta,nu,loglik,aic,bic,n_obs
2021-05-01,-0.009050463120449426,0.2511315299109419,-0.18120526234764867,0.9631315237723745,5.373099776221659,-1853.2477520854472,3718.4955041708945,3750.7319823693206,1592
2021-06-01,-0.009702663521798641,0.25535870314308584,-0.18289474223120766,0.9616972101679523,5.429837131287867,-1878.5287087851775,3769.057417570355,3801.3688031087545,1612
2021-07-01,-0.0104225483984813,0.258925066564212,-0.18615889238781985,0.9607931994954123,5.381420490733023,-1894.2434049275066,3800.4868098550132,3832.879527507533,1634
2021-08-01,-0.011017213778511134,0.2588667486762082,-0.18774131434572638,0.9596827522170751,5.489494892418704,-1917.0777482795288,3846.1554965590576,3878.6248342859244,1655
2021-09-01,-0.011865259632541184,0.25793951321560293,-0.1881493007243836,0.9595810901767989,5.513305199497732,-1934.5000075685625,3881.000015137125,3913.5485857080644,1677
2021-10-01,-0.011394200724685841,0.2566827356070486,-0.19042163623884045,0.9592191045529599,5.5478876711830285,-1959.130190286345,3930.26038057269,3962.8836187739175,1698
2021-11-01,-0.013125968190934591,0.25566651060346707,-0.1916901980993333,0.9588040455755169,5.588769138686232,-1981.0258568644106,3974.051713728821,4006.7487017611184,1719
2021-12-01,-0.012087629322077117,0.25874100809663675,-0.1942196561921415,0.9581194074485666,5.463161785885087,-2001.5408559220987,4015.0817118441973,4047.851554197449,1740
2022-01-01,-0.013358456488518529,0.259064999828245,-0.19606728239446836,0.9572391179423411,5.572464273368247,-2033.5473138290843,4079.0946276581685,4111.939856497145,1762
2022-02-01,-0.012253450326715274,0.25195607141089493,-0.19462419802096714,0.9586631046140791,5.56101339461122,-2067.0971638455026,4146.194327691005,4179.10727733919,1782
2022-03-01,-0.011443564469123967,0.24909325853099634,-0.19211787922445778,0.9600326237026493,5.613037340736804,-2102.8135437497303,4217.627087499461,4250.603671570517,1801
2022-04-01,-0.01089380743145076,0.2470234431863455,-0.18951021555659459,0.9615510594757695,5.74405436620412,-2145.103666937915,4302.20733387583,4335.260056899636,1824
2022-05-01,-0.00987756818552458,0.24611156989387914,-0.1904655963755461,0.9622692098100585,5.7905779064660905,-2183.547843083578,4379.095686167156,4412.213840591855,1844
2022-06-01,-0.008978954349362044,0.240864506769564,-0.18721136249687065,0.9643272298121784,5.779745614833034,-2229.66764596787,4471.33529193574,4504.521389928208,1865
2022-07-01,-0.008351737266058907,0.24010784086950157,-0.18653572418133413,0.9651322131962218,5.854630925055852,-2274.2526754365954,4560.505350873191,4593.758631652351,1886
2022-08-01,-0.008073552415587213,0.2412284928766595,-0.18535571074601168,0.9654573820123418,5.931739593373437,-2308.360147373928,4628.720294747856,4662.036867253141,1906
2022-09-01,-0.006673898355661324,0.24102656470118825,-0.18494329852208785,0.965851553841763,5.837586245685791,-2346.588278283545,4705.17655656709,4738.565098644524,1929
2022-10-01,-0.00590284839649701,0.23495533171826874,-0.18041624902897527,0.9674297276719503,5.7582522878794205,-2388.3165999396683,4788.633199879337,4822.086707788683,1950
2022-11-01,-0.005789923752577243,0.23248301417212053,-0.18013585397782197,0.9683213699852682,5.851859028489331,-2430.7832655458233,4873.5665310916465,4907.084308934563,1971
2022-12-01,-0.004872794943943486,0.2293161437547377,-0.18134122259830526,0.9691140371098471,5.760449557443982,-2471.004332903606,4954.008665807212,4987.590032436079,1992
2023-01-01,-0.004925040635138147,0.22689218331946162,-0.18033342407497246,0.969279366159217,5.795867993798903,-2505.5978371182237,5023.195674236447,5056.839962790286,2013
2023-02-01,-0.005061908025649557,0.22509430283330475,-0.18031547898143643,0.9694921818632113,5.851385113344288,-2535.7254832441804,5083.450966488361,5117.1545733701305,2033
2023-03-01,-0.0048036598608453725,0.22664765719336682,-0.1774665947833761,0.9695805030496978,5.9280913727651114,-2564.5217281375553,5141.043456275111,5174.802877512855,2052
2023-04-01,-0.004918973951823601,0.22356763273385252,-0.1763416594978888,0.9700846504512564,6.013723931213648,-2601.891710965231,5215.783421930462,5249.609720526451,2075
