Date,mod_a,mod_b,mod_c,garch_fc_vol,egarch_fc_vol,rv_yz
2024-11-19,0.868486249060401,0.8123658196591674,0.9406452085199923,0.8909459781652869,0.943823130185776,0.7952852490486568
2024-11-20,0.8031067783753829,0.7623687666498917,0.8692743347765861,0.8211360691164672,0.8754024804227051,0.8063227717949529
2024-11-21,0.8000101452583216,0.7645948085145389,0.80750513939467,0.7527079107892609,0.8155618522137916,0.8115031920651699
2024-11-22,0.7452502240824364,0.7004225342677881,0.7528167508809922,0.7207856377138578,0.7632666793176983,0.8055704213068428
2024-11-25,0.7007054541852474,0.6715028166492333,0.7050584386813827,0.673910363724123,0.7129245806380703,0.8060943087891086
2024-11-26,0.6553705363142133,0.64141983791475,0.663548782060174,0.6368175448000883,0.6680837911963806,0.7993812866723362
2024-11-27,0.5976234819563714,0.5911356823051127,0.627648939209586,0.6252442601181851,0.6304314549241409,0.7959933836723224
2024-11-29,0.6533562947490033,0.657115173630967,0.6222974465429102,0.6104139840039142,0.6600731515328409,0.7925244094769252
2024-12-02,0.57878442009435,0.5930243438395333,0.5921684247932549,0.6174758124182899,0.597729780488245,0.7639199431889453
2024-12-03,0.5614822300960833,0.5903708350803618,0.5663985013480997,0.5811615606112116,0.5616883946340044,0.7462427591673638
2024-12-04,0.5609846139575851,0.6049802164365807,0.544468867756611,0.5499666923205278,0.5311906030465167,0.7402855989220336
2024-12-05,0.5084062041223828,0.5439059516756101,0.5258989050027544,0.5725659815686843,0.5076109849923751,0.7355515605601979
2024-12-06,0.5558678510252363,0.5916358041450003,0.5191538714514451,0.5535559767386842,0.5221075911026039,0.5628399112375808
2024-12-09,0.5352779595852889,0.5857939424846133,0.5045786393248152,0.5287655373364666,0.4931465826310615,0.5608769161290653
2024-12-10,0.6475913898426623,0.6744124639944592,0.5766615004796538,0.5705903588020698,0.5837659195799311,0.5593318599729965
2024-12-11,0.6917604502395114,0.721487803307372,0.5820661539652778,0.5680742408647635,0.6201272180761883,0.565053038331789
2024-12-12,0.5949289965540819,0.623380955498122,0.5577891848366601,0.6150365038864634,0.5904620496747778,0.5551202834216612
2024-12-13,0.6854024395821372,0.707465847332234,0.6154522436873814,0.6346634358393287,0.6693632609447314,0.5563969400605507
2024-12-16,0.666835356054971,0.7096089290919948,0.5864153815157956,0.595981516451717,0.640754920613754,0.5522042913443972
2024-12-17,0.6233946783192547,0.6539553146070678,0.5614935167320957,0.5808507107774871,0.6041679685460883,0.5256822097811111
2024-12-18,0.7185909156264946,0.7178803484542297,0.5912384500977289,0.590920258410075,0.6593275273209198,0.6298139980316331
2024-12-19,1.6647072551203195,1.2584502927763241,1.8479505393859024,1.4633673406390175,1.5170449214407176,0.6309703963504577
2024-12-20,1.549482318776471,1.1841109525662707,1.6796963518832,1.3096571182644687,1.3962231092191135,0.6935994232166962
2024-12-23,1.2393886665658667,0.9807463032786911,1.5339677840765369,1.268965551401598,1.2882894958398017,0.6819249349637262
2024-12-24,1.0474631807516799,0.8768958681875376,1.3973951285133237,1.1602413543833558,1.1846819774873043,0.6868725963424743
2024-12-26,0.8261545746014787,0.7270876932109165,1.2753321200250398,1.1341005769498804,1.100134353467193,0.6770742315844456
2024-12-27,0.7790532375876736,0.7302919667459826,1.1664542641900704,1.0222608523635772,1.0213263764116656,0.7146030565627617
2024-12-30,0.9459756548570964,0.8921706409456556,1.2353977481480223,1.050325506851239,1.1622818717371008,0.7771262596353925
2024-12-31,1.099733750316003,1.0435160227248252,1.3147434483756384,1.090380591898121,1.3028691674634238,0.7868776627533479
2025-01-02,1.0717031090389828,1.05934480072785,1.2203039062664134,1.0025750437850391,1.243043004883034,0.8314709972295584
2025-01-03,1.0466716828616518,1.0572215476045597,1.1266602870558997,0.9193077279114716,1.19490516418697,0.8451489791441726
2025-01-06,0.8493690596052696,0.8747299704728123,1.034218453310683,0.975510878379962,1.110983540936083,0.8687961800687396
2025-01-07,0.7650333803994728,0.7946085836619985,0.9522735618464518,0.9095913886621756,1.0279248472463436,0.8907516816229182
2025-01-08,0.9884659483902575,0.9691592576646431,1.1024165592355049,0.9839656715738466,1.1853946229172134,0.9008711122931036
2025-01-10,0.9334389180819548,0.9333408767195084,1.0127032854428928,0.8922134062137204,1.088603782949715,0.9215036594838882
2025-01-13,1.2113567794705011,1.151843308302486,1.2957230823376606,1.0769451643203642,1.3279782691576798,0.945082227822082
2025-01-14,1.1171953539494843,1.090612023510849,1.1846256685415402,0.9724930991702596,1.2150391543054355,0.9606591148439024
2025-01-15,1.0438484234310197,1.0417343870952271,1.085717604408406,0.8822465641535643,1.114799238336569,1.0080372089074183
2025-01-16,0.802481228463861,0.8061511744137109,0.9978952547095973,1.0969002436081663,1.0470695516038862,1.004503668651954
2025-01-17,0.8247047316647602,0.8410400414016204,0.9269956579467469,0.9967078121874626,1.011380929164719,1.0215861208292365
2025-01-21,0.7080775356720246,0.7198855460286614,0.8575907963230668,0.9859971464404038,0.9446545053063564,1.022601423373846
2025-01-22,0.615436536716301,0.6216290011149046,0.796573044281172,0.9627196647486166,0.8839531436183246,0.961379888112378
2025-01-23,0.5768834138807237,0.5738288711768735,0.7431534750439159,0.8975008574700941,0.8251273233513376,0.9421678376023848
2025-01-24,0.5471545104754,0.52998861352195,0.6965988514919066,0.8414306514806126,0.7721576400459109,0.8793591030324084
2025-01-27,0.6262736215756252,0.6054772206099572,0.6793204148549823,0.7871141591294534,0.7852672745358074,0.99702918636649
2025-01-28,0.9606720942339155,0.8620360499619546,1.046484343586404,0.9770837480934804,1.050101574131718,1.0093822144702034
2025-01-29,0.8266286082738392,0.755747179567905,0.9638275698919799,0.946812394402256,0.9773261966870082,1.0089021913813556
2025-01-30,0.8824629748938208,0.8329420779036582,0.9280610111566948,0.8908831433965158,0.9982727449667907,0.992138171160196
2025-01-31,0.7895558152479915,0.7688059348078385,0.8591149237030382,0.8350001234463235,0.9270188747754774,0.9585239938382264
2025-02-03,0.8680664664697401,0.8563612281676981,0.8563675079739146,0.8106789797302676,0.9383090845436824,1.0360336854311611
2025-02-04,0.9866982257533039,0.9524646332697148,0.8872295395700857,0.813660410975858,1.0085986627769998,1.0034567038417586
2025-02-05,0.8756231394916747,0.859481287097291,0.8231471910794025,0.7879186839835874,0.938207275223094,0.9988860289641
2025-02-06,0.7954493689717627,0.8086209855469221,0.7668748306577341,0.7377790248238227,0.872053100090162,0.9856545815067924
2025-02-07,0.7385593068024777,0.7703967809344409,0.7176741985484941,0.6915566436354466,0.8120644324511853,0.9771435745290789
2025-02-10,0.9031422518786392,0.9171190842314512,0.8603364982615008,0.7761907095474317,0.9504129675084174,0.9755709344031636
