,refit_date,n_train,garch_fc_vol,egarch_fc_vol,garch_fc_h5,egarch_fc_h5,garch_fc_h21,egarch_fc_h21,rv_yz,rv_20d,garch_err_yz,egarch_err_yz,garch_sqerr_yz,egarch_sqerr_yz,garch_abserr_yz,egarch_abserr_yz,garch_err_20d,egarch_err_20d,garch_sqerr_20d,egarch_sqerr_20d,garch_abserr_20d,egarch_abserr_20d,rv_yz_h5,garch_err_h5,egarch_err_h5,garch_sqerr_h5,egarch_sqerr_h5,garch_abserr_h5,egarch_abserr_h5,rv_yz_h21,garch_err_h21,egarch_err_h21,garch_sqerr_h21,egarch_sqerr_h21,garch_abserr_h21,egarch_abserr_h21,har_fc_vol,target_gk
2018-09-14,2018-09-01,923,0.4965743004951145,0.4562175127442864,0.5884744341863889,0.5008294794219039,0.7449370895774496,0.6177619909096852,0.4440791263217011,0.3336674667267415,0.0524951741734134,0.0121383864225853,0.002755743311497,0.000147340424944,0.0524951741734134,0.0121383864225853,0.162906833768373,0.1225500460175449,0.0265386364884363,0.0150185137789023,0.162906833768373,0.1225500460175449,0.4421350651840016,0.1463393690023873,0.0586944142379023,0.0214152109200168,0.0034450342627304,0.1463393690023873,0.0586944142379023,0.8520022090197285,-0.1070651194422788,-0.2342402181100432,0.0114629398011894,0.0548684797802406,0.1070651194422788,0.2342402181100432,0.3533699477796469,0.30658390659892465
2018-09-17,2018-09-01,923,0.4728298914742307,0.4370274226002814,0.5734785035208902,0.4842671164437155,0.7410865725108648,0.6100201460797319,0.4217977151554595,0.358656916418028,0.0510321763187712,0.0152297074448218,0.0026042830198301,0.0002319439888548,0.0510321763187712,0.0152297074448218,0.1141729750562027,0.0783705061822533,0.0130354682331842,0.0061419362392626,0.1141729750562027,0.0783705061822533,0.4430402924590919,0.1304382110617983,0.0412268239846235,0.0170141269050022,0.0016996510158591,0.1304382110617983,0.0412268239846235,0.885820903110331,-0.1447343305994661,-0.2758007570305991,0.0209480264540755,0.0760660575786515,0.1447343305994661,0.2758007570305991,0.36643709418059506,0.31403613321158447
2018-09-18,2018-09-01,923,0.5323131298038836,0.5550307230511939,0.6116681872104119,0.5838751752104832,0.7510473486874358,0.6543471915602116,0.4199291198642736,0.3725476063728974,0.1123840099396099,0.1351016031869203,0.0126301656901063,0.018252443183676,0.1123840099396099,0.1351016031869203,0.1597655234309861,0.1824831166782964,0.0255250224771769,0.0333000878726247,0.1597655234309861,0.1824831166782964,0.441908305598005,0.1697598816124069,0.1419668696124781,0.0288184174050584,0.0201545920675663,0.1697598816124069,0.1419668696124781,0.9073662593000256,-0.1563189106125897,-0.253019067739814,0.0244356018151068,0.0640186486399245,0.1563189106125897,0.253019067739814,0.37019412116647404,0.403651029486958
2018-09-19,2018-09-01,923,0.5423354254756414,0.5181927871633039,0.6182970121549481,0.5533246176042265,0.7528276784068252,0.6412914788718657,0.4180569558487014,0.3710528206849544,0.12427846962694,0.1001358313146024,0.0154451380128142,0.0100271847130665,0.12427846962694,0.1001358313146024,0.171282604790687,0.1471399664783494,0.0293377307038826,0.0216501697352498,0.171282604790687,0.1471399664783494,0.4507790858315698,0.1675179263233783,0.1025455317726566,0.0280622556396848,0.0105155860865369,0.1675179263233783,0.1025455317726566,0.9399251930920554,-0.1870975146852301,-0.2986337142201897,0.0350054800013899,0.0891820952689459,0.1870975146852301,0.2986337142201897,0.39093175325639895,0.20185211395972294
2018-09-20,2018-09-01,923,0.507353731070029,0.4852249641930689,0.5953941872189306,0.525580964360677,0.7467405306060396,0.6290390070019327,0.4409117064694206,0.402611858260068,0.0664420246006083,0.0443132577236483,0.0044145426330278,0.0019636648100824,0.0664420246006083,0.0443132577236483,0.1047418728099609,0.0826131059330008,0.010970859919738,0.0068249252718972,0.1047418728099609,0.0826131059330008,0.4581693530466698,0.1372248341722607,0.0674116113140072,0.0188306551136044,0.0045443253399507,0.1372248341722607,0.0674116113140072,0.9476243001584312,-0.2008837695523915,-0.3185852931564984,0.0403542888695783,0.101496589015612,0.2008837695523915,0.3185852931564984,0.31312091811348297,0.6213341967834143
2018-09-21,2018-09-01,923,0.5842851864546639,0.4571096091843554,0.6465818664836149,0.5015956907942836,0.76059062716982,0.618116246644698,0.4421350651840016,0.4013020975743802,0.1421501212706623,0.0149745440003538,0.0202066569772639,0.0002242369680185,0.1421501212706623,0.0149745440003538,0.1829830888802836,0.0558075116099752,0.0334828108161697,0.0031144783520975,0.1829830888802836,0.0558075116099752,0.4610250372638623,0.1855568292197526,0.0405706535304212,0.0344313368700884,0.0016459779278854,0.1855568292197526,0.0405706535304212,0.9524857479802264,-0.1918951208104065,-0.3343695013355284,0.0368237373908405,0.1118029634233699,0.1918951208104065,0.3343695013355284,0.47404248026638135,0.2481077248006689
2018-09-24,2018-09-01,923,0.5453925745116038,0.4615622858341205,0.6203293331793602,0.505415198039331,0.7533765005055977,0.6198771592171542,0.4430402924590919,0.3979776917977874,0.1023522820525119,0.0185219933750285,0.0104759896413569,0.0003430642385846,0.1023522820525119,0.0185219933750285,0.1474148827138164,0.0635845940363331,0.0217311476455282,0.0040430005987652,0.1474148827138164,0.0635845940363331,0.4699290163139518,0.1504003168654084,0.0354861817253792,0.0226202553132152,0.0012592690934466,0.1504003168654084,0.0354861817253792,1.0585867428345648,-0.3052102423289671,-0.4387095836174105,0.0931532920225068,0.1924660987577617,0.3052102423289671,0.4387095836174105,0.3521440271461045,0.26601422738016217
2018-09-25,2018-09-01,923,0.5429558878963882,0.5228675040285683,0.6187090960762764,0.5572270055219185,0.7529388471487627,0.6429838510023668,0.441908305598005,0.3632643180601304,0.1010475822983831,0.0809591984305632,0.0102106138883485,0.0065543918105193,0.1010475822983831,0.0809591984305632,0.1796915698362577,0.1596031859684379,0.0322890602702187,0.0254731769712757,0.1796915698362577,0.1596031859684379,0.4672830465778658,0.1514260494984106,0.0899439589440527,0.0229298484666951,0.0080899157505294,0.1514260494984106,0.0899439589440527,1.1040191978890026,-0.3510803507402399,-0.4610353468866358,0.1232574126758898,0.2125535910788806,0.3510803507402399,0.4610353468866358,0.3543879031974797,0.2303510832135852
2018-09-26,2018-09-01,923,0.5136194274952909,0.5196045797739296,0.5994471176617379,0.55450396604065,0.7478045588868772,0.6418037184027208,0.4507790858315698,0.371060787247647,0.062840341663721,0.0688254939423597,0.0039489085404131,0.0047369486164098,0.062840341663721,0.0688254939423597,0.1425586402476438,0.1485437925262825,0.0203229659092571,0.0220652582980912,0.1425586402476438,0.1485437925262825,0.4705057970995728,0.128941320562165,0.0839981689410772,0.016625864148315,0.0070556923854537,0.128941320562165,0.0839981689410772,1.1435123031561536,-0.3957077442692763,-0.5017085847534328,0.156584618874679,0.2517115040152925,0.3957077442692763,0.5017085847534328,0.3304019018729568,0.6518137705325641
2018-09-27,2018-09-01,923,0.5147774034156554,0.5645743918722755,0.6001985726364231,0.5917170952747577,0.7480024668224761,0.6576292155543146,0.4581693530466698,0.3564398543878354,0.0566080503689855,0.1064050388256057,0.0032044713665776,0.0113220322874786,0.0566080503689855,0.1064050388256057,0.15833754902782,0.2081345374844401,0.0250707794321373,0.0433199856938618,0.15833754902782,0.2081345374844401,0.4972613795328228,0.1029371931036002,0.0944557157419348,0.0105960657240478,0.0089218822363211,0.1029371931036002,0.0944557157419348,1.2796259669012602,-0.5316235000787841,-0.6219967513469455,0.2826235458360169,0.386879958686154,0.5316235000787841,0.6219967513469455,0.4960775268591268,0.4357112820704083
