date,actual,M1 HAR+TS,M3 Combined,crisis
2025-04-07,5.506178961625043,1.3419734140376094,2.3035595493222747,True
2025-04-08,3.920425634325497,2.9442108706363137,2.892448171871889,True
2025-04-09,3.690315536444688,3.0978253332428256,2.8070837287952317,True
2025-04-10,3.1558798709015448,2.957009989311772,2.394015004207972,True
2025-04-11,1.7731398142982204,2.872350805206862,2.560645933847678,True
2025-04-14,1.2442660599293307,2.336188594967489,2.0183305981646047,True
2025-04-15,0.8063423729178738,1.72590685932876,1.6762812718468525,False
2025-04-16,2.243396676406214,1.3243616630858903,1.4649900457823173,True
2025-04-17,0.9622639348749206,1.672770466763888,1.8512620795792207,False
2025-04-21,1.5936167343836003,1.316169524015426,1.5922113259906086,True
2025-04-22,1.0712559454361394,1.3447977268313398,1.7410183347152666,False
2025-04-23,1.3983672274854708,1.2467551540365207,1.5422572719400054,True
2025-04-24,1.0674367404653475,1.3246180891656214,1.4342507229409254,False
2025-04-25,0.8364848084757647,1.2010052981169723,1.3088747152182352,False
2025-04-28,1.0964136246664695,1.065086209789288,1.1290458416922309,False
2025-04-29,0.6400742965958788,1.1032280941538974,1.0967922977443711,False
2025-04-30,1.7648631376813666,0.954919907391758,0.953614210449886,True
2025-05-01,0.7537923132143085,1.3189318136182089,1.0945587835116417,False
2025-05-02,0.7165061983715693,1.0994992686079008,0.9219984571060924,False
2025-05-05,0.6116731137904969,0.9275563813517042,0.7624283377662587,False
2025-05-06,0.8008047905030211,0.857345870947682,0.7678511852298975,False
2025-05-07,0.9762415402101314,0.9161892716110016,0.8443244554723067,False
2025-05-08,1.0754790851222302,0.9657034399132004,0.8687414459753179,False
2025-05-09,0.5444393039334359,1.0149981897842149,0.8411810009530729,False
2025-05-12,0.7082477544064372,0.8071495569567907,0.7030586301598344,False
2025-05-13,0.6590053463072422,0.7734784464747197,0.6348998598177319,False
2025-05-14,0.4135505018340854,0.7574188547981852,0.601967625751982,False
2025-05-15,0.4795751489905205,0.6256817130286135,0.5215501128268226,False
2025-05-16,0.5414829760560648,0.5802486888761768,0.4981873810174063,False
2025-05-19,0.535827431594898,0.6107567904890897,0.4924520718555971,False
2025-05-20,0.5310899837075028,0.598954336927426,0.4750856304951144,False
2025-05-21,1.152519292204584,0.5876248436173264,0.4983739419294751,True
2025-05-22,0.6291480926353333,0.8449796011945192,0.8299797962959194,False
2025-05-23,0.6799356696990553,0.7497105918038981,0.7239449237098945,False
2025-05-27,1.4619502625835648,0.6925227963809238,0.7183449089473234,True
2025-05-28,0.5631100357277419,1.030031365031736,0.8296137165203357,False
2025-05-29,0.794426432331248,0.8215164838667594,0.7310242070060655,False
2025-05-30,0.9489147299690214,0.7520660325613768,0.6602214848498035,False
2025-06-02,0.7679393697908656,0.8597136161003655,0.690799418915857,False
2025-06-03,0.4828770558205888,0.8156550100073569,0.6240326096825348,False
2025-06-04,0.2710307127862875,0.6365926344697906,0.5342811846720799,False
2025-06-05,0.8148345623530572,0.5007277679013334,0.4454097164596106,False
2025-06-06,0.4661222135358627,0.6679688228465384,0.5805657278390581,False
2025-06-09,0.3253149532754563,0.5975632167091645,0.5362283997610311,False
2025-06-10,0.4219236173289739,0.4693887557629245,0.453225976235731,False
2025-06-11,0.614103776306227,0.4765081861952783,0.4364346032655383,False
2025-06-12,0.3130604411270663,0.5774193675119342,0.496293757799008,False
2025-06-13,0.7360493609284583,0.4705691895251352,0.4358995306205146,False
2025-06-16,0.4371522635962705,0.5921720298586765,0.6192927749594844,False
2025-06-17,0.5189767105811125,0.5526955973063153,0.5558445987088194,False
2025-06-18,0.5511595753701191,0.5426701102248892,0.61605065665133,False
2025-06-20,0.6559222500288329,0.5635093130289994,0.6038824291572267,False
2025-06-23,0.8774988172408712,0.6235009987624429,0.6186025534999928,False
2025-06-24,0.4533234007653701,0.7281316858700554,0.640983677867455,False
2025-06-25,0.3483351730503164,0.6044183838917944,0.5326001627925955,False
2025-06-26,0.3498234665023177,0.4935342930649516,0.4446975309989203,False
2025-06-27,0.6068665642847654,0.4666966405526417,0.4134555674708371,False
2025-06-30,0.4766040501263639,0.5520481893449591,0.4481914042204111,False
2025-07-01,0.3562729129045851,0.5233339373215367,0.4341713523958997,False
2025-07-02,0.3046312901557792,0.4532849988499667,0.3877777858278183,False
2025-07-03,0.3274690930670325,0.410829074434501,0.3459348659311848,False
2025-07-07,0.6483547437505682,0.407670313700235,0.3285746919470911,False
2025-07-08,0.2771296132699088,0.5296654006013208,0.486286243711079,False
2025-07-09,0.4130051820064098,0.4339932144793021,0.4301707694736909,False
2025-07-10,0.4059546492092878,0.4280985375865205,0.3997936208153,False
2025-07-11,0.3674985648883095,0.4503413563642459,0.3896681863848019,False
2025-07-14,0.3438024373501125,0.4376375733858902,0.4078228366621342,False
2025-07-15,0.3798112503282227,0.4080982945219023,0.3867361307672597,False
2025-07-16,0.7586478847819269,0.4211498516679938,0.4258102443687761,False
2025-07-17,0.3106446853048862,0.5824441073688548,0.4850952669531264,False
