date,actual,crisis_eval,regime_exante,M1,M2_raw,M2d_regime,M2e,M3,M9d,M9e,w9d,w9e,M2e_sq_err,M2e_abs_err,M9e_sq_err,M9e_abs_err,M9d_sq_err,M9d_abs_err,M3_sq_err,M3_abs_err,M1_sq_err,M1_abs_err
2025-10-17,0.6721359381831226,False,calm,0.9961198328374845,1.1449912514996092,0.8330504911688905,0.8330504911688905,0.8841482437705137,0.8902717512273198,0.8979023224038187,0.6490986014114161,0.602305187650008,0.025893493362609522,0.16091455298576796,0.05097046024408701,0.22576638422069617,0.047583232932452986,0.21813581304419727,0.04494921772048133,0.21201230558739115,0.1049655639954087,0.32398389465436195
2025-10-20,0.3680168924995411,False,calm,0.7957539065592305,1.0468147023956795,0.7736101815474109,0.7736101815474109,0.7438672656448335,0.782513626663969,0.7835959362652174,0.5979246891927307,0.5490481067446278,0.16450591612066884,0.4055932890478698,0.17270594161719388,0.4155790437656763,0.17180754263297637,0.41449673416442784,0.14126350299345553,0.3758503731452924,0.18295895319669891,0.4277370140596894
2025-10-21,0.3166649636906723,False,calm,0.6102038993831849,0.957716647034672,0.7196663828941943,0.7196663828941943,0.5846523521046719,0.6650437347298293,0.6595877241492395,0.500992062190227,0.45114840429404074,0.16241014388005284,0.40300141920352195,0.11759601964052384,0.3429227604585672,0.12136776811075332,0.34837877103915693,0.0718172403489559,0.2679873884139996,0.08616510676749302,0.29353893569251255
2025-10-22,0.8349771584541572,False,calm,0.4956434066647896,0.8963614121168195,0.6825192821486273,0.6825192821486273,0.52861773267013,0.5848202690847367,0.5755689137226097,0.47719836596917886,0.42769301736185034,0.023243404047592245,0.15245787630552987,0.06729263743470247,0.25940824473154755,0.06257846929898449,0.2501568893694205,0.09385609776671887,0.3063594257840272,0.11514739510344812,0.3393337517893676
2025-10-23,0.3927933469061719,False,calm,0.6575245452608662,0.9423999621603417,0.7097524891259434,0.7097524891259434,0.67089575633415,0.6902772450415638,0.6877794393832953,0.6271106491442439,0.5792855679057164,0.1004630978366933,0.31695914221977145,0.08701679475492202,0.29498609247712343,0.08849666964982825,0.29748389813539194,0.07734095012964676,0.2781024094279781,0.07008260738231252,0.26473119835469433
2025-10-24,0.2854361044860972,False,calm,0.5507589659484627,0.8678606431757487,0.6647560291678697,0.6647560291678697,0.6096224945761117,0.6086621601790454,0.6029736632952188,0.507935841462319,0.4580354604948017,0.14388360526058555,0.3793199246817725,0.10083010125445639,0.31753755880912166,0.10447508307882086,0.3232260556929482,0.10509681551959509,0.32418639009001454,0.07039622081457762,0.26532286146236556
2025-10-27,0.27026030741399254,False,calm,0.4206962975283465,0.8001050547565984,0.6238546409774547,0.6238546409774547,0.5078174706813785,0.5146312017666244,0.5046392885969543,0.4623728597285439,0.4131899760722145,0.12502895272818892,0.35359433356346215,0.05493350682036313,0.23437898118296174,0.05971713400670514,0.24437089435263182,0.05643340581964747,0.23755716326738596,0.022630987121685996,0.15043599011435393
2025-10-28,0.420016362891887,False,calm,0.391533965622096,0.7373663914954582,0.5859817735068454,0.5859817735068454,0.4595801542343871,0.4797175453307352,0.4701994257872635,0.4535077081501795,0.40455822578258677,0.027544517520591765,0.16596541061495845,0.002518339801561313,0.050183062895376496,0.0035642311845966368,0.0597011824388482,0.0015652935853928858,0.0395637913425001,0.0008112469542341955,0.02848239726979096
2025-10-29,0.6933994412194209,False,calm,0.44739505462671364,0.6867030768886786,0.5553983198598051,0.5553983198598051,0.4602244147546881,0.5034314992292079,0.4980366460095126,0.5188402821114438,0.4688894476801679,0.01904430949651139,0.13800112135961573,0.03816662175222857,0.1953627952099083,0.03608781898399691,0.18996794199021294,0.05437059296682882,0.23317502646473276,0.060518158222854154,0.24600438659270724
2025-10-30,0.5124908515715052,False,calm,0.5645984731144548,0.6461168491790538,0.5308980078786497,0.5308980078786497,0.5191507957244783,0.5442876968337812,0.5459299064603524,0.6026853379784917,0.553955754719607,0.00033882340331565,0.018407156307144512,0.0011181703918593385,0.03343905488884724,0.0010110393686331234,0.031796845262276,4.435485612072068e-05,0.006659944152973107,0.002715204222863262,0.05210762154294957
