date,actual,crisis_eval,regime_exante,M1,M2_raw,M2b_pooled,M2c_regime,M3,M9,M9c,w9,w9c,m9_c_active,m9_k_active,m9c_c_active,m9c_k_active,M2c_regime_sq_err,M2c_regime_abs_err,M9c_sq_err,M9c_abs_err,M9_sq_err,M9_abs_err,M3_sq_err,M3_abs_err,M1_sq_err,M1_abs_err
2025-04-16,2.2433966764061983,True,calm,1.3223464598787218,2.3370183192738923,1.7196606383545545,1.5185924628098715,1.4586412057079072,1.5057402475617896,1.4251773054626127,0.4615837984604498,0.5239895032153479,0.9000000000000002,1.0,0.6500000000000001,1.0,0.5253411480469898,0.7248042135963269,0.669482938987317,0.8182193709435857,0.5441370070154863,0.7376564288444087,0.6158411487908965,0.7847554706982911,0.8483335013653114,0.9210502165274765
2025-04-17,0.9622639348749216,False,crisis,1.651796686954257,2.5221448959174966,1.8573224716168981,2.0186756599363886,1.8172240562904531,1.7588795978353162,1.8656002496185395,0.5210193507195688,0.5827631955203262,0.9000000000000002,1.0,0.6500000000000001,1.0,1.1160057328473447,1.056411725061467,0.8160164975345808,0.903336314743618,0.6345965144738291,0.7966156629603947,0.7309568092108605,0.8549601214155316,0.47545541619010234,0.6895327520793355
2025-04-21,1.5936167343836005,True,calm,1.323109244331698,2.2398501435081033,1.647405484863397,1.4586594217651552,1.5843204754262818,1.4798544281946961,1.3970797064451577,0.48333950343058846,0.5457053875844059,0.9000000000000002,1.0,0.6500000000000001,1.0,0.01821347622919279,0.13495731261844535,0.03862680335087627,0.19653702793844285,0.01294186230941803,0.11376230618890437,8.642043060152761e-05,0.00929625895731867,0.0731743021741801,0.27050749005190244
2025-04-22,1.0712559454361394,False,crisis,1.3280399243719252,2.4757647961310747,1.8228338007882852,1.980248467796921,1.7079975870772741,1.5824053293627975,1.7037080633936854,0.5140835752316958,0.5759938946046054,0.9000000000000002,1.0,0.6500000000000001,1.0,0.826267405707816,0.9089925223607815,0.3999956815089856,0.632452117957546,0.2612736926886021,0.5111493839266581,0.40543991819984715,0.6367416416411347,0.06593801183809406,0.25678397893578575
2025-04-23,1.3983672274854904,True,calm,1.242705929454564,2.195593893044115,1.6144961280187615,1.4313622984566272,1.5235813054550826,1.4246181719257542,1.3467690346826635,0.4892873539262474,0.5516013362207842,0.9000000000000002,1.0,0.6500000000000001,1.0,0.0010886747083903579,0.03299507097113685,0.0026623735005176924,0.05159819280282685,0.000689112084005821,0.02625094444026388,0.015678565321775133,0.12521407796959227,0.0242304397046729,0.15566129803092643
2025-04-24,1.0674367404653475,False,crisis,1.3115073282512062,1.9732283585083037,1.4472411234010898,1.556237405174052,1.4094071885227115,1.3800744150038797,1.4503301634682266,0.5051585471176039,0.5672487704107819,0.9000000000000002,1.0,0.6500000000000001,1.0,0.23892608981967128,0.4888006647087044,0.1466073733788617,0.3828934230028791,0.09774231554086119,0.3126376745385322,0.11694378734455428,0.341970448057364,0.05957045182213454,0.24407058778585866
2025-04-25,0.8364848084757647,False,calm,1.1944560898248573,1.7641776613385476,1.2915613028811783,1.15890893101909,1.2908185375143901,1.241775879326208,1.1749180366265786,0.4873043167507907,0.5496375478286825,0.9000000000000002,1.0,0.6500000000000001,1.0,0.10395731479783332,0.3224241225433254,0.11453704991658085,0.3384332281508139,0.164260852111099,0.40529107085044325,0.20641913734214312,0.45433372903862546,0.12814343827071123,0.3579712813490926
2025-04-28,1.096413624666469,False,calm,1.0536975271555167,1.5866879270634942,1.159384896152291,1.0501878624896848,1.1097091814581868,1.102376890773653,1.0518619738320893,0.46059774294903877,0.5229996305052238,0.9000000000000002,1.0,0.6500000000000001,1.0,0.002136821088824623,0.04622576217678431,0.0019848495920684883,0.04455165083437973,3.556054266508949e-05,0.0059632661071840065,0.00017677183040179007,0.013295556791717678,0.0018246649865651938,0.0427160975109524
2025-04-29,0.6400742965958788,False,calm,1.0878481847800434,1.4391252797373593,1.049495157623836,0.959798585848686,1.0736594726368174,1.0690825336077212,1.0172158549069712,0.4892873539262474,0.5516013362207842,0.9000000000000002,1.0,0.6500000000000001,1.0,0.10222362113821278,0.31972428925280727,0.14223575500531913,0.3771415583110924,0.18404806742400917,0.42900823701184243,0.18799610488245172,0.4335851760409386,0.20050145493956478,0.44777388818416464
2025-04-30,1.7648631376813666,True,calm,0.9451184289180784,1.30439225650645,0.9491596258190295,0.877268076060659,0.9394432492246875,0.9468178371634133,0.9123909056496093,0.42052102062508356,0.4823486082267353,0.9000000000000002,1.0,0.6500000000000001,1.0,0.7878249934134677,0.8875950616207076,0.7267089063852062,0.8524722320317573,0.6691981136995085,0.8180453005179533,0.6813179922598366,0.8254198884566791,0.6719813875454081,0.8197447087632882
